,Brand,Model,Engine Capacity (CC),Transmission Type,Year,Features
2430,Skoda,Rapid,1600,Automatic,2015,[]
2431,Volvo,240,1800 - 2000,Automatic,1977,"['Air Conditioning', 'AM/FM Radio', 'Bluetooth System', 'Leather Seats', 'Power Windows', 'USB Charger']"
2432,Volkswagen,ID4,0 - 800,Automatic,2022,"['ABS', 'Air Conditioning', 'Airbags', 'Alarm/Anti-Theft System', 'AM/FM Radio', 'Aux Audio In', 'Bluetooth System', 'Cruise Control', 'EBD', 'Fog Lights', 'Keyless Start', 'Leather Seats', 'Navigation System', 'Off-Road Tyres', 'Parking Sensors', 'Power Locks', 'Power Mirrors', 'Power Seats', 'Power Steering', 'Power Windows', 'Premium Wheels/Rims', 'Rear View Camera', 'Roof Rack', 'Sunroof', 'Touch Screen', 'USB Charger']"
2433,Kia,Cerato,1600,Automatic,2013,"['ABS', 'Air Conditioning', 'Airbags', 'Alarm/Anti-Theft System', 'AM/FM Radio', 'Aux Audio In', 'Bluetooth System', 'EBD', 'Fog Lights', 'Keyless Start', 'Leather Seats', 'Navigation System', 'Off-Road Tyres', 'Parking Sensors', 'Power Locks', 'Power Mirrors', 'Power Steering', 'Power Windows', 'Premium Wheels/Rims', 'Rear View Camera', 'Roof Rack', 'Sunroof', 'Touch Screen', 'USB Charger']"
2434,Hyundai,Veloster,1600,Automatic,2012,"['ABS', 'Air Conditioning', 'Airbags', 'Alarm/Anti-Theft System', 'AM/FM Radio', 'Aux Audio In', 'Bluetooth System', 'Cruise Control', 'EBD', 'Fog Lights', 'Keyless Start', 'Leather Seats', 'Navigation System', 'Off-Road Tyres', 'Parking Sensors', 'Power Locks', 'Power Mirrors', 'Power Seats', 'Power Steering', 'Power Windows', 'Premium Wheels/Rims', 'Rear View Camera', 'Roof Rack', 'Sunroof', 'Touch Screen', 'USB Charger']"
2435,Citroen,DS7,1600,Automatic,2019,"['ABS', 'Air Conditioning', 'Airbags', 'Alarm/Anti-Theft System', 'AM/FM Radio', 'Aux Audio In', 'Bluetooth System', 'Cruise Control', 'EBD', 'Fog Lights', 'Keyless Start', 'Leather Seats', 'Navigation System', 'Parking Sensors', 'Power Locks', 'Power Mirrors', 'Power Seats', 'Power Steering', 'Power Windows', 'Premium Wheels/Rims', 'Rear View Camera', 'Roof Rack', 'Sunroof', 'Touch Screen', 'USB Charger']"
2436,Opel,Insignia,1600,Automatic,2019,"['ABS', 'Air Conditioning', 'Airbags', 'Alarm/Anti-Theft System', 'AM/FM Radio', 'Aux Audio In', 'Bluetooth System', 'Cruise Control', 'EBD', 'Fog Lights', 'Keyless Start', 'Leather Seats', 'Navigation System', 'Off-Road Tyres', 'Parking Sensors', 'Power Locks', 'Power Mirrors', 'Power Seats', 'Power Steering', 'Power Windows', 'Premium Wheels/Rims', 'Rear View Camera', 'Touch Screen', 'USB Charger']"
2437,Mercedes-Benz,E200,1800 - 2000,Automatic,2021,"['ABS', 'Air Conditioning', 'Airbags', 'Alarm/Anti-Theft System', 'AM/FM Radio', 'Aux Audio In', 'Bluetooth System', 'Cruise Control', 'EBD', 'Fog Lights', 'Keyless Start', 'Leather Seats', 'Off-Road Tyres', 'Parking Sensors', 'Power Locks', 'Power Mirrors', 'Power Seats', 'Power Steering', 'Power Windows', 'Premium Wheels/Rims', 'Rear View Camera', 'Roof Rack', 'Sunroof', 'Touch Screen', 'USB Charger']"
2438,Opel,Insignia,,Automatic,2018,"['ABS', 'Air Conditioning', 'Airbags', 'Alarm/Anti-Theft System', 'AM/FM Radio', 'Aux Audio In', 'Bluetooth System', 'Cruise Control', 'EBD', 'Fog Lights', 'Keyless Start', 'Leather Seats', 'Navigation System', 'Off-Road Tyres', 'Parking Sensors', 'Power Locks', 'Power Mirrors', 'Power Seats', 'Power Steering', 'Power Windows', 'Premium Wheels/Rims', 'Rear View Camera', 'Roof Rack', 'Sunroof', 'Touch Screen', 'USB Charger']"
2439,Seat,Toledo,1600,Automatic,2016,"['ABS', 'Air Conditioning', 'Airbags', 'Alarm/Anti-Theft System', 'AM/FM Radio', 'Aux Audio In', 'Bluetooth System', 'Parking Sensors', 'Touch Screen', 'USB Charger']"
2440,Jeep,Grand Cherokee,More than 3000,Automatic,2016,"['ABS', 'Air Conditioning', 'Airbags', 'Alarm/Anti-Theft System', 'AM/FM Radio', 'Aux Audio In', 'Bluetooth System', 'Cruise Control', 'EBD', 'Fog Lights', 'Keyless Start', 'Leather Seats', 'Navigation System', 'Off-Road Tyres', 'Parking Sensors', 'Power Locks', 'Power Mirrors', 'Power Seats', 'Power Steering', 'Power Windows', 'Premium Wheels/Rims', 'Rear View Camera', 'Roof Rack', 'Sunroof', 'Touch Screen', 'USB Charger']"
2441,Peugeot,405,1600,Manual,2007,"['ABS', 'Air Conditioning', 'Airbags', 'Alarm/Anti-Theft System', 'AM/FM Radio', 'Aux Audio In', 'Leather Seats', 'Parking Sensors', 'Power Locks', 'Power Mirrors', 'Power Seats', 'Power Steering']"
2442,Peugeot,5008,1600,Automatic,2019,[]
2443,Fiat,Tipo,1400 - 1500,Manual,2020,"['ABS', 'Air Conditioning', 'Airbags', 'Cruise Control', 'Leather Seats', 'Power Locks', 'Power Mirrors', 'Power Seats', 'Power Steering', 'Power Windows', 'USB Charger']"
2444,Mercedes-Benz,E200,1800 - 2000,Automatic,2022,"['ABS', 'Air Conditioning', 'Airbags', 'Alarm/Anti-Theft System', 'AM/FM Radio', 'Aux Audio In', 'Bluetooth System', 'Cruise Control', 'EBD', 'Fog Lights', 'Keyless Start', 'Leather Seats', 'Navigation System', 'Off-Road Tyres', 'Parking Sensors', 'Power Locks', 'Power Mirrors', 'Power Seats', 'Power Steering', 'Power Windows', 'Premium Wheels/Rims', 'Rear View Camera', 'Roof Rack', 'Sunroof', 'Touch Screen', 'USB Charger']"
2445,Nissan,Sunny,1400 - 1500,Automatic,2023,[]
2446,Kia,Sportage,1600,Automatic,2022,[]
2447,Mercedes-Benz,C180,1600,Automatic,2016,"['ABS', 'Air Conditioning', 'Airbags', 'Alarm/Anti-Theft System', 'AM/FM Radio', 'Aux Audio In', 'Bluetooth System', 'Cruise Control', 'EBD', 'Fog Lights', 'Keyless Start', 'Leather Seats', 'Navigation System', 'Off-Road Tyres', 'Parking Sensors', 'Power Locks', 'Power Mirrors', 'Power Seats', 'Power Steering', 'Power Windows', 'Premium Wheels/Rims', 'Rear View Camera', 'Roof Rack', 'Sunroof', 'Touch Screen', 'USB Charger']"
2448,BMW,420,1800 - 2000,Automatic,2022,[]
2449,Chevrolet,Optra,1400 - 1500,Automatic,2022,"['ABS', 'Air Conditioning', 'Airbags', 'AM/FM Radio', 'Aux Audio In', 'Bluetooth System', 'Cruise Control', 'Leather Seats', 'Power Locks', 'Power Mirrors', 'Power Windows', 'Premium Wheels/Rims', 'Sunroof']"
2450,Kia,Sportage,,Automatic,2018,[]
2451,Nissan,Sunny,1600,Automatic,2009,"['Air Conditioning', 'Power Locks', 'Power Windows']"
2452,BMW,418,More than 3000,Automatic,2022,[]
2453,BMW,418,More than 3000,Automatic,2022,[]
2454,Nissan,Sunny,1600,Automatic,2016,[]
2455,Kia,Shuma,1600,Manual,2000,"['Power Steering', 'Premium Wheels/Rims']"
2456,Toyota,Corolla,1600,Automatic,2016,"['ABS', 'Air Conditioning', 'Airbags', 'AM/FM Radio', 'Bluetooth System', 'EBD', 'Fog Lights', 'Parking Sensors', 'Power Mirrors', 'Power Windows', 'USB Charger']"
2457,Toyota,Corolla,1600,Automatic,2010,"['Air Conditioning', 'AM/FM Radio', 'Leather Seats', 'Parking Sensors', 'Power Locks', 'Power Mirrors', 'Power Windows']"
2458,Hyundai,Elantra,1600,Automatic,2022,"['ABS', 'Air Conditioning', 'Airbags', 'Alarm/Anti-Theft System', 'Aux Audio In', 'Bluetooth System', 'Cruise Control', 'Fog Lights', 'Keyless Start', 'Power Locks', 'Power Mirrors', 'Power Windows', 'Rear View Camera', 'Roof Rack', 'Sunroof', 'Touch Screen', 'USB Charger']"
2459,Suzuki,Ciaz,1400 - 1500,Automatic,2022,"['ABS', 'Air Conditioning', 'Airbags', 'Alarm/Anti-Theft System', 'AM/FM Radio', 'Aux Audio In', 'Bluetooth System', 'EBD', 'Fog Lights', 'Keyless Start', 'Navigation System', 'Parking Sensors', 'Power Locks', 'Power Mirrors', 'Power Steering', 'Power Windows', 'Premium Wheels/Rims', 'Rear View Camera', 'Touch Screen', 'USB Charger']"
2460,Chery,Arrizo 5,1400 - 1500,Manual,2023,"['ABS', 'Air Conditioning', 'Airbags', 'Alarm/Anti-Theft System', 'AM/FM Radio', 'Aux Audio In', 'EBD', 'Fog Lights', 'Leather Seats', 'Power Locks', 'Power Mirrors', 'Power Steering', 'Power Windows', 'USB Charger']"
2461,Tesla,Model 3,,Automatic,2023,[]
2462,BMW,X3,1800 - 2000,Automatic,2013,[]
2463,Fiat,Dogan,1600,Manual,1997,"['Leather Seats', 'Power Windows']"
2464,MG,MG 5,1400 - 1500,Automatic,2022,"['ABS', 'Air Conditioning', 'Airbags', 'Alarm/Anti-Theft System', 'AM/FM Radio', 'Bluetooth System', 'Cruise Control', 'EBD', 'Keyless Start', 'Leather Seats', 'Navigation System', 'Parking Sensors', 'Power Locks', 'Power Mirrors', 'Power Seats', 'Power Steering', 'Power Windows', 'Premium Wheels/Rims', 'Rear View Camera', 'Roof Rack', 'Touch Screen', 'USB Charger']"
2465,Skoda,Kodiaq,1400 - 1500,Automatic,2023,[]
2466,Skoda,Felecia,1000 - 1300,Manual,1995,['AM/FM Radio']
2467,Renault,Logan,,Automatic,2016,[]
2468,BMW,320,1600,Automatic,2023,[]
2469,Mercedes-Benz,Other,0 - 800,Automatic,2023,[]
2470,Skoda,Octavia,1000 - 1300,Manual,1998,[]
2471,Opel,Astra,1600,Automatic,2013,[]
2472,Jeep,Cherokee,More than 3000,Automatic,1995,[]
2473,Peugeot,405,1600,Manual,2003,[]
2474,Jetour,X95,1600,Automatic,2022,[]
2475,Kia,Cerato Coupe,1600,Automatic,2011,"['ABS', 'Air Conditioning', 'Airbags', 'AM/FM Radio', 'Aux Audio In', 'Fog Lights', 'Keyless Start', 'Leather Seats', 'Parking Sensors', 'Power Locks', 'Power Mirrors', 'Power Windows', 'Sunroof']"
2476,Audi,TT,1800 - 2000,Automatic,2022,[]
2477,Jeep,Renegade,1400 - 1500,Automatic,2016,"['ABS', 'Air Conditioning', 'Airbags', 'Alarm/Anti-Theft System', 'AM/FM Radio', 'Aux Audio In', 'Bluetooth System', 'Cruise Control', 'EBD', 'Fog Lights', 'Keyless Start', 'Leather Seats', 'Navigation System', 'Off-Road Tyres', 'Parking Sensors', 'Power Locks', 'Power Mirrors', 'Power Seats', 'Power Steering', 'Power Windows', 'Premium Wheels/Rims', 'Rear View Camera', 'Roof Rack', 'Sunroof', 'Touch Screen', 'USB Charger']"
2478,Jeep,Cherokee,More than 3000,Automatic,2014,"['ABS', 'Air Conditioning', 'Airbags', 'Alarm/Anti-Theft System', 'AM/FM Radio', 'Aux Audio In', 'Bluetooth System', 'Cruise Control', 'EBD', 'Fog Lights', 'Keyless Start', 'Leather Seats', 'Navigation System', 'Off-Road Tyres', 'Parking Sensors', 'Power Locks', 'Power Mirrors', 'Power Seats', 'Power Steering', 'Power Windows', 'Premium Wheels/Rims', 'Rear View Camera', 'Roof Rack', 'Sunroof', 'Touch Screen', 'USB Charger']"
2479,MG,MG 5,1400 - 1500,Automatic,2022,[]
2480,Toyota,Corolla,1600,Automatic,2022,[]
2481,Mercedes-Benz,A200,1800 - 2000,Automatic,2022,[]
2482,Jeep,Grand Cherokee,More than 3000,Automatic,2022,[]
2483,BMW,320,1600,Automatic,2023,[]
2484,Mercedes-Benz,C180,1600,Automatic,2019,[]
2485,BMW,318,,Automatic,2016,[]
2486,Fiat,Tipo,1600,Automatic,2020,"['ABS', 'Air Conditioning', 'Airbags', 'Alarm/Anti-Theft System', 'AM/FM Radio', 'Aux Audio In', 'Bluetooth System', 'Cruise Control', 'EBD', 'Fog Lights', 'Leather Seats', 'Navigation System', 'Off-Road Tyres', 'Parking Sensors', 'Power Locks', 'Power Mirrors', 'Power Steering', 'Power Windows', 'Premium Wheels/Rims', 'Rear View Camera', 'Roof Rack', 'Touch Screen', 'USB Charger']"
2487,MG,ZS,1400 - 1500,Automatic,2022,"['ABS', 'Air Conditioning', 'Airbags', 'Alarm/Anti-Theft System', 'AM/FM Radio', 'Aux Audio In', 'Cruise Control', 'EBD', 'Keyless Start', 'Power Locks', 'Power Mirrors', 'Power Steering', 'Power Windows', 'Premium Wheels/Rims', 'USB Charger']"
2488,Jac,S7,1400 - 1500,Automatic,2019,"['ABS', 'Air Conditioning', 'Airbags', 'Alarm/Anti-Theft System', 'AM/FM Radio', 'Aux Audio In', 'Bluetooth System', 'Cruise Control', 'EBD', 'Fog Lights', 'Keyless Start', 'Leather Seats', 'Navigation System', 'Off-Road Tyres', 'Parking Sensors', 'Power Locks', 'Power Mirrors', 'Power Seats', 'Power Steering', 'Power Windows', 'Premium Wheels/Rims', 'Rear View Camera', 'Roof Rack', 'Sunroof', 'Touch Screen', 'USB Charger']"
2489,Hyundai,Verna,1400 - 1500,Manual,2013,[]
2490,Mitsubishi,Lancer,,Automatic,2018,"['ABS', 'Air Conditioning', 'Airbags', 'Alarm/Anti-Theft System', 'AM/FM Radio', 'Leather Seats', 'Power Locks', 'Power Mirrors', 'Power Steering', 'Power Windows', 'Roof Rack']"
2491,Daewoo,Lanos,1400 - 1500,Manual,2007,"['Air Conditioning', 'AM/FM Radio', 'Power Steering']"
2492,Hyundai,Elantra,1600,Automatic,2015,"['Air Conditioning', 'Airbags', 'Alarm/Anti-Theft System', 'AM/FM Radio', 'Aux Audio In', 'Bluetooth System', 'Cruise Control', 'Keyless Start', 'Leather Seats', 'Power Locks', 'Power Mirrors', 'Power Windows', 'Touch Screen']"
2493,Hyundai,Accent,1600,Manual,2010,"['ABS', 'Air Conditioning', 'Alarm/Anti-Theft System', 'AM/FM Radio', 'Aux Audio In', 'Bluetooth System', 'Fog Lights', 'Leather Seats', 'Power Locks', 'Power Mirrors', 'Power Steering', 'Power Windows', 'USB Charger']"
2494,Land Rover,Range Rover Sport SVR,More than 3000,Automatic,2017,[]
2495,Kia,Cerato,1400 - 1500,Automatic,2015,[]
2496,Audi,A5,1800 - 2000,Automatic,2022,[]
2497,Mercedes-Benz,CLA 200,1000 - 1300,Automatic,2022,[]
2498,Chery,Tiggo,1600,Automatic,2021,"['ABS', 'Air Conditioning', 'Airbags', 'AM/FM Radio', 'Aux Audio In', 'Bluetooth System', 'Cruise Control', 'EBD', 'Fog Lights', 'Keyless Start', 'Leather Seats', 'Off-Road Tyres', 'Parking Sensors', 'Power Locks', 'Rear View Camera', 'Sunroof', 'Touch Screen', 'USB Charger']"
2499,Volkswagen,Beetle,1600,Manual,1974,[]
2500,Suzuki,Alto,0 - 800,Manual,2013,"['Air Conditioning', 'Alarm/Anti-Theft System', 'Aux Audio In', 'Bluetooth System', 'Power Locks', 'Premium Wheels/Rims', 'USB Charger']"
2501,Lifan,Other,1000 - 1300,Manual,2013,"['Air Conditioning', 'AM/FM Radio', 'Bluetooth System', 'Power Locks', 'Power Windows']"
2502,Fiat,127,,Manual,1984,"['AM/FM Radio', 'Bluetooth System', 'USB Charger']"
2503,Hyundai,Tucson,1600,Automatic,2021,[]
2504,Mitsubishi,Lancer,1600,Automatic,2016,[]
2505,Nissan,Sunny,,Automatic,2018,"['ABS', 'Air Conditioning', 'Airbags', 'Alarm/Anti-Theft System', 'AM/FM Radio', 'Aux Audio In', 'Bluetooth System', 'Cruise Control', 'Fog Lights', 'Leather Seats', 'Premium Wheels/Rims', 'USB Charger']"
2506,Volkswagen,Passat,1400 - 1500,Automatic,2010,[]
2507,Mercedes-Benz,S500,More than 3000,Automatic,2022,[]
2508,Brilliance,V5,1600,Automatic,2015,[]
2509,Chevrolet,Optra,1600,Automatic,2014,[]
2510,Chevrolet,N300,1000 - 1300,Manual,2021,[]
2511,BMW,316,1600,Automatic,2014,"['ABS', 'Air Conditioning', 'AM/FM Radio', 'Bluetooth System', 'Cruise Control', 'EBD', 'Keyless Start', 'Off-Road Tyres', 'Parking Sensors', 'Power Locks', 'Power Steering', 'Power Windows', 'Premium Wheels/Rims', 'USB Charger']"
2512,BMW,520,1600,Automatic,2019,[]
2513,Mercedes-Benz,C200,1400 - 1500,Automatic,2022,[]
2514,Mercedes-Benz,E200,1800 - 2000,Automatic,2022,"['ABS', 'Air Conditioning', 'Airbags', 'Alarm/Anti-Theft System', 'AM/FM Radio', 'Aux Audio In', 'Bluetooth System', 'Cruise Control', 'EBD', 'Fog Lights', 'Keyless Start', 'Leather Seats', 'Navigation System', 'Parking Sensors', 'Power Locks', 'Power Mirrors', 'Power Seats', 'Power Steering', 'Power Windows', 'Premium Wheels/Rims', 'Rear View Camera', 'Roof Rack', 'Sunroof', 'Touch Screen', 'USB Charger']"
2515,Nissan,Sunny,1400 - 1500,Automatic,2014,"['ABS', 'Air Conditioning', 'Airbags', 'Alarm/Anti-Theft System', 'AM/FM Radio', 'Aux Audio In', 'Parking Sensors', 'Power Mirrors', 'Power Windows', 'USB Charger']"
2516,Renault,Megane,1600,Automatic,2005,[]
2517,BYD,F3,1400 - 1500,Manual,2017,[]
2518,Mercedes-Benz,200,1800 - 2000,Automatic,1994,"['ABS', 'Air Conditioning', 'Airbags', 'Alarm/Anti-Theft System', 'AM/FM Radio', 'Aux Audio In', 'Bluetooth System', 'Fog Lights', 'Leather Seats', 'Power Locks', 'Power Mirrors', 'Power Seats', 'Power Steering', 'Power Windows']"
2519,Mercedes-Benz,GLC 200,1800 - 2000,Automatic,2023,[]
2520,Faw,Pickup,1000 - 1300,Manual,2016,[]
2521,Fiat,Tipo,1600,Automatic,2022,"['ABS', 'Air Conditioning', 'AM/FM Radio', 'Bluetooth System', 'Leather Seats', 'Power Locks', 'Power Windows']"
2522,Suzuki,Ciaz,1400 - 1500,Automatic,2022,[]
2523,Kia,Cerato,1600,Automatic,2022,"['ABS', 'Air Conditioning', 'Airbags', 'AM/FM Radio', 'Aux Audio In', 'Bluetooth System', 'Power Seats', 'Power Windows']"
2524,Suzuki,Van,1000 - 1300,Manual,2022,[]
2525,Renault,Logan,1600,Automatic,2022,[]
2526,Peugeot,2008,,Automatic,2022,[]
2527,Jetour,X70,,Automatic,2022,[]
2528,Audi,TT,1800 - 2000,Automatic,2022,[]
2529,MG,MG 5,1600,Automatic,2021,[]
2530,Fiat,Tipo,1600,Automatic,2021,"['ABS', 'Air Conditioning', 'Airbags', 'Alarm/Anti-Theft System', 'AM/FM Radio', 'Aux Audio In', 'Bluetooth System', 'Cruise Control', 'EBD', 'Fog Lights', 'Leather Seats', 'Power Locks', 'Power Mirrors', 'Power Steering', 'Power Windows', 'Premium Wheels/Rims', 'Touch Screen', 'USB Charger']"
2531,Volkswagen,Caddy,1800 - 2000,Manual,2008,[]
2532,Skoda,Felecia,1000 - 1300,Manual,1995,['Power Locks']
2533,Jaguar,Other,More than 3000,Automatic,2022,[]
2534,Mercedes-Benz,GLC 200,1800 - 2000,Automatic,2023,[]
2535,Suzuki,Ciaz,1000 - 1300,Automatic,2015,"['ABS', 'Air Conditioning', 'Airbags', 'Alarm/Anti-Theft System', 'AM/FM Radio', 'Aux Audio In', 'Bluetooth System', 'EBD', 'Keyless Start', 'Leather Seats', 'Power Locks', 'Power Mirrors', 'Power Steering', 'Power Windows', 'Roof Rack', 'USB Charger']"
2536,Hyundai,Accent,1600,Automatic,2015,"['ABS', 'Air Conditioning', 'Alarm/Anti-Theft System', 'AM/FM Radio', 'Aux Audio In', 'EBD', 'Fog Lights', 'Navigation System', 'Power Locks', 'Power Steering', 'Power Windows']"
2537,Hyundai,Verna,1600,Manual,2019,"['Air Conditioning', 'AM/FM Radio', 'USB Charger']"
2538,Mitsubishi,Lancer,1600,Automatic,2016,"['ABS', 'Air Conditioning', 'Airbags', 'Alarm/Anti-Theft System', 'AM/FM Radio', 'Aux Audio In', 'Power Locks', 'Power Mirrors', 'Power Steering', 'Power Windows', 'Premium Wheels/Rims', 'USB Charger']"
2539,BYD,F3,1600,Manual,2014,[]
2540,BMW,218,1400 - 1500,Automatic,2017,[]
2541,Chevrolet,Optra,1600,Automatic,2022,[]
2542,Land Rover,Velar,1800 - 2000,Automatic,2022,[]
2543,BMW,X7,More than 3000,Automatic,2021,[]
2544,Peugeot,406,1800 - 2000,Automatic,2003,"['ABS', 'Air Conditioning', 'Airbags', 'Alarm/Anti-Theft System', 'AM/FM Radio', 'EBD', 'Fog Lights', 'Power Locks', 'Power Mirrors', 'Power Steering', 'Power Windows', 'Premium Wheels/Rims', 'USB Charger']"
2545,Daihatsu,Grand Terios,1400 - 1500,Automatic,2016,"['ABS', 'Air Conditioning', 'Airbags', 'Alarm/Anti-Theft System', 'Bluetooth System', 'Fog Lights', 'Keyless Start', 'Leather Seats', 'Power Locks', 'Power Mirrors', 'Power Seats', 'Power Steering', 'Premium Wheels/Rims']"
2546,Fiat,Tipo,1600,Automatic,2019,"['ABS', 'Air Conditioning', 'Airbags', 'Alarm/Anti-Theft System', 'AM/FM Radio', 'Aux Audio In', 'Bluetooth System', 'Cruise Control', 'EBD', 'Fog Lights', 'Leather Seats', 'Navigation System', 'Parking Sensors', 'Power Locks', 'Power Mirrors', 'Power Seats', 'Power Steering', 'Power Windows', 'Premium Wheels/Rims', 'Rear View Camera', 'Touch Screen', 'USB Charger']"
2547,Lada,2105,1000 - 1300,Manual,1995,['AM/FM Radio']
2548,Seat,Arona,1000 - 1300,Automatic,2022,[]
2549,Peugeot,505,1800 - 2000,Manual,1980,[]
2550,Nissan,Sunny,1400 - 1500,Automatic,2019,[]
2551,Skoda,Kodiaq,1400 - 1500,Automatic,2022,[]
2552,Maserati,Other,1800 - 2000,Automatic,2022,[]
2553,Mercedes-Benz,C200,1400 - 1500,Automatic,2022,[]
2554,Mercedes-Benz,C180,1400 - 1500,Automatic,2022,[]
2555,Nissan,Sunny,1600,Automatic,2020,[]
2556,Renault,Logan,1600,Automatic,2019,"['ABS', 'Air Conditioning', 'Airbags', 'AM/FM Radio', 'Aux Audio In', 'Bluetooth System', 'EBD', 'Fog Lights']"
2557,Mercedes-Benz,S500,More than 3000,Automatic,2002,[]
2558,Fiat,Bravo,1400 - 1500,Automatic,2011,"['Air Conditioning', 'Airbags', 'Alarm/Anti-Theft System', 'AM/FM Radio', 'Aux Audio In', 'Cruise Control', 'EBD', 'Fog Lights', 'Keyless Start', 'Leather Seats', 'Off-Road Tyres', 'Power Locks', 'Power Mirrors']"
2559,Skoda,Octavia,1600,Automatic,2019,"['Air Conditioning', 'Alarm/Anti-Theft System', 'Keyless Start', 'Parking Sensors', 'Power Windows', 'Premium Wheels/Rims']"
2560,Mitsubishi,Atrage,1000 - 1300,Automatic,2023,[]
2561,Opel,Corsa,1600,Manual,2003,"['Air Conditioning', 'Airbags', 'AM/FM Radio', 'Aux Audio In']"
2562,Maserati,Ghibli,1800 - 2000,Automatic,2015,"['ABS', 'Air Conditioning', 'Airbags', 'Alarm/Anti-Theft System', 'AM/FM Radio', 'Aux Audio In', 'Bluetooth System', 'Cruise Control', 'EBD', 'Fog Lights', 'Keyless Start', 'Leather Seats', 'Navigation System', 'Parking Sensors', 'Power Locks', 'Power Mirrors', 'Power Seats', 'Power Steering', 'Power Windows', 'Rear View Camera', 'Roof Rack', 'Sunroof', 'Touch Screen', 'USB Charger']"
2563,Renault,Fluence,1000 - 1300,Automatic,2015,"['Air Conditioning', 'AM/FM Radio', 'Power Locks', 'Power Windows']"
2564,Renault,Megane,1600,Automatic,2022,[]
2565,Mercedes-Benz,E180,1600,Automatic,2019,[]
2566,BYD,F3,1400 - 1500,Automatic,2023,[]
2567,Nissan,Qashqai,1000 - 1300,Automatic,2019,[]
2568,Geely,Coolray,1400 - 1500,Automatic,2023,[]
2569,Fiat,Tipo,1600,Automatic,2021,['Leather Seats']
2570,Toyota,Corolla,1600,Automatic,2022,[]
2571,Nissan,Sunny,1400 - 1500,Automatic,2023,[]
2572,Subaru,XV,1600,Automatic,2022,[]
2573,Brilliance,Shineray,1400 - 1500,Manual,2023,[]
2574,Nissan,Sentra,1400 - 1500,Automatic,2023,[]
2575,Mitsubishi,Lancer,1600,Automatic,2014,"['ABS', 'Air Conditioning', 'Aux Audio In', 'Fog Lights', 'Leather Seats', 'Power Locks', 'Power Mirrors', 'Power Steering', 'Power Windows']"
2576,Opel,Crossland,1000 - 1300,Automatic,2022,"['ABS', 'Air Conditioning', 'Airbags', 'Alarm/Anti-Theft System', 'AM/FM Radio', 'Aux Audio In', 'Bluetooth System', 'Cruise Control', 'EBD', 'Fog Lights', 'Keyless Start', 'Leather Seats', 'Navigation System', 'Off-Road Tyres', 'Parking Sensors', 'Power Locks', 'Power Mirrors', 'Power Seats', 'Power Steering', 'Power Windows', 'Premium Wheels/Rims', 'Rear View Camera', 'Roof Rack', 'Sunroof', 'Touch Screen', 'USB Charger']"
2577,Kia,Ceed,1600,Automatic,2016,[]
2578,MG,ZS,1600,Automatic,2021,"['ABS', 'Air Conditioning', 'Airbags', 'Alarm/Anti-Theft System', 'AM/FM Radio', 'Aux Audio In', 'Bluetooth System', 'Cruise Control', 'EBD', 'Fog Lights', 'Keyless Start', 'Leather Seats', 'Navigation System', 'Off-Road Tyres', 'Parking Sensors', 'Power Locks', 'Power Mirrors', 'Power Seats', 'Power Steering', 'Power Windows', 'Premium Wheels/Rims', 'Rear View Camera', 'Roof Rack', 'Sunroof', 'Touch Screen', 'USB Charger']"
2579,Mitsubishi,Lancer,1600,Automatic,2015,"['Air Conditioning', 'Parking Sensors', 'Rear View Camera', 'Touch Screen']"
2580,Speranza,A113,1000 - 1300,Manual,2012,[]
2581,Kia,Sportage,1600,Automatic,2019,"['ABS', 'Air Conditioning', 'Airbags', 'Alarm/Anti-Theft System', 'AM/FM Radio', 'Aux Audio In', 'Bluetooth System', 'Cruise Control', 'EBD', 'Fog Lights', 'Keyless Start', 'Leather Seats', 'Navigation System', 'Off-Road Tyres', 'Parking Sensors', 'Power Locks', 'Power Mirrors', 'Power Seats', 'Power Steering', 'Power Windows', 'Premium Wheels/Rims', 'Rear View Camera', 'Roof Rack', 'Sunroof', 'Touch Screen', 'USB Charger']"
2582,Fiat,Siena,1400 - 1500,Manual,2003,[]
2583,Chery,Tiggo,1600,Automatic,2022,"['ABS', 'Air Conditioning', 'Airbags', 'Alarm/Anti-Theft System', 'AM/FM Radio', 'Aux Audio In', 'Bluetooth System', 'Cruise Control', 'EBD', 'Fog Lights', 'Keyless Start', 'Leather Seats', 'Navigation System', 'Off-Road Tyres', 'Parking Sensors', 'Power Locks', 'Power Mirrors', 'Power Seats', 'Power Steering', 'Power Windows', 'Premium Wheels/Rims', 'Rear View Camera', 'Roof Rack', 'Sunroof', 'Touch Screen', 'USB Charger']"
2584,Opel,Meriva,1400 - 1500,Automatic,2016,"['ABS', 'Air Conditioning', 'Airbags', 'AM/FM Radio', 'Aux Audio In', 'EBD', 'Fog Lights', 'Power Locks', 'Power Windows']"
2585,Nissan,Bluebird,1600,Automatic,2009,[]
2586,Ford,Focus,1000 - 1300,Automatic,2018,"['ABS', 'Air Conditioning', 'Airbags', 'Alarm/Anti-Theft System', 'AM/FM Radio', 'Aux Audio In', 'Bluetooth System', 'Fog Lights', 'Parking Sensors', 'Power Locks', 'Power Mirrors', 'Power Steering', 'Power Windows', 'USB Charger']"
2587,Toyota,Corolla,1000 - 1300,Manual,1993,"['Air Conditioning', 'Alarm/Anti-Theft System', 'AM/FM Radio', 'Aux Audio In']"
